trial Response Correct Target ReactionTime
1 1 0 4 0.02222272
2 3 0 1 116.7477
3 4 1 4 11.60018
4 1 1 1 6.077879
5 1 1 1 4.866752
6 2 1 2 1.844488
7 1 1 1 4.800085
8 3 1 3 6.388995
9 2 1 2 3.577846
10 1 1 1 2.833391
11 1 1 1 3.033394
12 4 1 4 11.10017
13 2 1 2 8.389022
14 4 1 4 3.96674
15 4 1 4 2.811169
16 2 1 2 1.788931
17 4 1 4 2.266717
18 1 1 1 9.111254
19 2 1 2 4.944531
20 1 1 1 5.844543
