subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 11 2.4 second first 9 1 310 6.6 2.177999 0.511170148849487 -0.25 1 -1 0
lala 10 0.15 first first 20 1 311 6.6 5.106 1.52229475975037 0.5 0 1 0
lala 11 0.3 second first 13 1 312 6.6 5.478 213.667855739594 0 1 -1 0
lala 7 0.6 first first 14 1 313 8 5.88 1.93341159820557 0 0 1 1
lala 18 0.0046875 second first 3 1 314 8 7.438437 2.42230701446533 -1 1 -1 0
lala 15 0.075 second second 16 1 315 6.6 7.281001 0.355612516403198 0.25 0 1 1
lala 7 0.6 second second 26 1 316 8 5.880001 1.63340759277344 1 0 1 0
lala 8 0.3 first second 14 1 317 8 5.579999 0.90006422996521 0 0 -1 1
lala 8 0.6 second first 12 1 318 6.6 6.156 1.28895831108093 0 0 -1 1
lala 8 0.3 first first 21 1 319 6.6 6.078001 2.67786598205566 0.5 1 1 1
lala 6 0.3 second second 8 1 320 6.6 5.256 4.62233638763428 -0.25 0 1 1
lala 15 0.01875 first second 4 1 321 6.6 5.743499 0.300056219100952 -0.5 0 -1 0
lala 8 0.075 second second 10 1 322 8 6.105 1.50007224082947 -0.25 0 1 1
lala 4 1.2 second first 7 1 323 8 9.440001 2.9112024307251 -0.5 1 -1 1
lala 11 0.3 first second 20 1 324 6.6 4.806 0.433391332626343 0.5 0 -1 1
lala 11 1.2 second second 29 1 325 6.6 4.278 0.488947629928589 2 1 1 0
lala 8 0.15 first first 18 1 326 8 6.330001 0.200054883956909 0.25 0 1 1
lala 14 0.01875 second second 6 1 327 8 6.57375 0.122276067733765 -0.5 0 1 1
lala 9 0.15 first first 18 1 328 8 6.180001 0.0111634731292725 0.25 0 1 1
lala 15 0.6 first first 15 1 329 8 5.615001 1.51118350028992 0 1 1 0
lala 9 2.4 first first 5 1 330 6.6 8.778 5.22136688232422E-05 -0.5 1 1 1
lala 12 2.4 second first 29 1 331 6.6 1.878 0.733395338058472 2 1 -1 0
lala 9 0.0375 first second 10 1 332 8 6.067501 2.04452419281006 -0.25 0 -1 1
lala 9 0.15 second first 21 1 333 6.6 5.928 0.46672511100769 0.5 1 -1 0
lala 9 2.4 second first 1 1 334 6.6 3.978 1.46673846244812 -1 1 -1 1
lala 10 0.15 second first 18 1 335 8 6.030001 0.700061559677124 0.25 0 -1 1
lala 16 0.009375 first second 4 1 336 6.6 5.752874 3.15565013885498 -0.5 0 -1 0
lala 9 1.2 second second 12 1 337 6.6 7.356 0.200054883956909 0 0 1 0
lala 10 2.4 second second 1 1 338 6.6 6.378 0.18894362449646 -1 1 1 0
lala 10 1.2 first first 5 1 339 6.6 7.578 0.111164808273315 -0.5 1 1 1
lala 12 2.4 second first 9 1 340 6.6 4.577999 0.166721105575562 -0.25 1 -1 1
lala 10 0.6 second second 12 1 341 6.6 6.756 0.588948965072632 0 0 1 0
lala 17 0.009375 first first 0 1 342 6.6 6.793499 0.0667197704315186 -1 0 1 1
lala 14 0.15 second first 11 1 343 8 5.165001 0.633394002914429 -0.25 1 -1 1
lala 13 1.2 first second 29 1 344 6.6 3.078 0.344501256942749 2 1 -1 1
lala 7 0.6 second first 27 1 345 8 5.240001 0.177832365036011 1 1 -1 0
lala 15 0.01875 first first 6 1 346 8 6.555 0.266722440719604 -0.5 0 1 0
lala 7 0.15 second second 8 1 347 6.6 5.106 0.255611181259155 -0.25 0 1 0
lala 11 0.075 second second 18 1 348 8 6.105 0.122276067733765 0.25 0 1 1
lala 12 0.15 first first 20 1 349 6.6 4.956 0.3333899974823 0.5 0 1 1
lala 11 0.6 first first 12 1 350 6.6 6.156 0.988954305648804 0 0 1 0
lala 9 0.6 first first 19 1 351 8 6.14 1.68896389007568 0.25 1 1 0
lala 14 0.075 second second 22 1 352 8 5.88 0.222277402877808 0.5 0 1 1
lala 10 0.075 first first 21 1 353 6.6 6.003 0.0111634731292725 0.5 1 1 1
lala 11 0.6 first second 25 1 354 6.6 3.378 0.622282743453979 1 1 -1 1
lala 10 0.01875 second first 10 1 355 8 6.086251 2.20008182525635 -0.25 0 -1 0
lala 11 1.2 first second 1 1 356 6.6 5.178 0.233388662338257 -1 1 -1 0
lala 14 0.075 second second 31 1 357 8 5.315001 0.166721105575562 2 1 1 1
lala 13 2.4 first first 9 1 358 6.6 6.977999 3.83343696594238 -0.25 1 1 0
lala 15 0.0375 first first 22 1 359 8 5.8425 0.211166143417358 0.5 0 1 1
lala 17 0.009375 second second 4 1 360 6.6 5.762249 0.18894362449646 -0.5 0 1 0
lala 8 0.15 second first 8 1 361 6.6 4.956 0.344501256942749 -0.25 0 -1 1
lala 8 0.3 first second 27 1 362 8 5.540001 0.3333899974823 1 1 -1 0
lala 11 0.01875 first first 10 1 363 8 6.105001 5.22136688232422E-05 -0.25 0 1 0
lala 9 0.15 second first 14 1 364 8 5.73 0.166721105575562 0 0 -1 1
lala 15 0.0375 first second 31 1 365 8 5.277501 0.100053548812866 2 1 -1 0
lala 14 1.2 second first 29 1 366 6.6 4.278 0.0111634731292725 2 1 -1 0
lala 16 0.3 first second 15 1 367 8 5.315001 0.411168813705444 0 1 -1 1
lala 5 0.6 first first 7 1 368 8 10.04 0.122276067733765 -0.5 1 1 0
lala 8 0.3 second first 26 1 369 8 5.58 0.3333899974823 1 0 -1 0
lala 15 1.2 second second 29 1 370 6.6 5.478 2.15563678741455 2 1 1 1
lala 9 0.075 second first 8 1 371 6.6 5.031 0.822285413742065 -0.25 0 -1 1
lala 6 0.3 second second 7 1 372 8 9.740001 0.377835035324097 -0.5 1 1 1
lala 12 0.15 second first 13 1 373 6.6 5.628 0.400057554244995 0 1 -1 0
lala 13 0.075 second first 20 1 374 6.6 4.881 0.300056219100952 0.5 0 -1 1
lala 13 0.15 first first 13 1 375 6.6 5.778 1.0111768245697 0 1 1 1
lala 19 0.00234375 second second 3 1 376 8 7.440781 1.22229075431824 -1 1 1 0
lala 16 0.6 first second 29 1 377 6.6 4.878 0.244499921798706 2 1 -1 1
lala 16 0.01875 first second 31 1 378 8 5.296251 0.388946294784546 2 1 -1 1
lala 11 1.2 second second 5 1 379 6.6 6.378 0.200054883956909 -0.5 1 1 0
lala 10 0.075 second first 8 1 380 6.6 5.105999 0.288944959640503 -0.25 0 -1 0
lala 12 1.2 second first 5 1 381 6.6 5.178 0.244499921798706 -0.5 1 -1 0
lala 14 0.0375 second first 20 1 382 6.6 4.9185 0.533392667770386 0.5 0 -1 0
lala 12 0.009375 first second 10 1 383 8 6.095626 0.61117148399353 -0.25 0 -1 1
lala 16 0.0375 first second 22 1 384 8 5.805 1.06673312187195 0.5 0 -1 0
lala 18 0.0046875 first second 4 1 385 6.6 5.757562 0.411168813705444 -0.5 0 -1 1
lala 10 1.2 first second 19 1 386 8 4.940001 0.500058889389038 0.25 1 -1 1
lala 11 0.075 second first 24 1 387 6.6 7.056 0.244499921798706 1 0 -1 1
lala 12 0.6 second first 25 1 388 6.6 3.978 1.27784705162048 1 1 -1 1
lala 11 0.075 first second 8 1 389 6.6 5.180999 5.22136688232422E-05 -0.25 0 -1 0
lala 13 0.0046875 first second 10 1 390 8 6.100313 0.311167478561401 -0.25 0 -1 0
lala 14 1.2 second first 9 1 391 6.6 5.777999 9.3335108757019 -0.25 1 -1 0
lala 13 0.6 first first 5 1 392 6.6 5.778 2.13341426849365 -0.5 1 1 0
lala 9 0.15 second first 28 1 393 6.6 5.706 0.200054883956909 2 0 -1 1
lala 12 0.6 first second 12 1 394 6.6 5.556 3.14453887939453 0 0 -1 1
lala 15 0.0375 second first 20 1 395 6.6 4.956 0.366723775863647 0.5 0 -1 0
lala 9 0.15 first second 26 1 396 8 5.73 0.277833700180054 1 0 -1 1
lala 12 0.075 second first 30 1 397 8 4.642499 0.0556085109710693 2 0 -1 1
lala 11 0.0375 first first 21 1 398 6.6 5.9655 0.577837705612183 0.5 1 1 1
lala 17 0.01875 second first 31 1 399 8 5.315001 5.22136688232422E-05 2 1 -1 0
lala 13 0.15 first second 30 1 400 8 4.7925 4.46677875518799 2 0 -1 0
lala 19 0.00234375 first second 4 1 401 6.6 5.759906 2.1223030090332 -0.5 0 -1 1
lala 13 0.3 second first 12 1 402 6.6 5.856 0.566726446151733 0 0 -1 0
lala 14 0.0046875 second first 10 1 403 8 6.105 0.788951635360718 -0.25 0 -1 1
lala 16 0.15 first first 16 1 404 6.6 7.131001 2.97786998748779 0.25 0 1 1
lala 4 1.2 second second 17 1 405 6.6 7.578 1.06673312187195 0.25 1 1 0
lala 17 0.15 first second 15 1 406 8 5.465001 0.288944959640503 0 1 -1 0
lala 10 0.075 first first 28 1 407 6.6 5.781 0.500058889389038 2 0 1 0
lala 12 0.6 first first 1 1 408 6.6 5.778 0.666727781295776 -1 1 1 0
lala 15 0.6 first second 9 1 409 6.6 6.377999 0.566726446151733 -0.25 1 -1 1
lala 20 0.00234375 first first 4 1 410 6.6 5.762249 1.24451327323914 -0.5 0 1 0
lala 17 0.3 first first 29 1 411 6.6 5.178 0.766729116439819 2 1 1 1
lala 14 0.3 second second 12 1 412 6.6 6.156001 0.566726446151733 0 0 1 0
lala 10 0.15 second second 26 1 413 8 5.880001 1.58896231651306 1 0 1 0
lala 18 0.01875 first second 31 1 414 8 5.333752 2.24452686309814 2 1 -1 0
lala 10 0.15 second second 14 1 415 8 5.88 0.522281408309937 0 0 1 0
lala 16 0.01875 first first 6 1 416 8 6.53625 0.633394002914429 -0.5 0 1 0
lala 15 0.0046875 first first 10 1 417 8 6.109688 0.811174154281616 -0.25 0 1 0
lala 12 0.0375 first second 21 1 418 6.6 5.928 0.500058889389038 0.5 1 -1 0
lala 18 0.15 first second 15 1 419 8 5.615001 0.255611181259155 0 1 -1 0
lala 7 0.3 second second 7 1 420 8 9.440001 0.155609846115112 -0.5 1 1 0
lala 13 0.01875 first second 21 1 421 6.6 5.946751 0.355612516403198 0.5 1 -1 0
lala 16 0.6 second second 9 1 422 6.6 6.977999 0.155609846115112 -0.25 1 1 1
lala 14 0.01875 first first 21 1 423 6.6 5.965501 0.211166143417358 0.5 1 1 0
lala 14 0.3 first second 5 1 424 6.6 5.478 0.222277402877808 -0.5 1 -1 1
lala 14 0.3 first second 30 1 425 8 5.0925 0.3333899974823 2 0 -1 1
lala 5 2.4 first second 17 1 426 6.6 5.178 0.300056219100952 0.25 1 -1 1
lala 16 0.0375 second first 20 1 427 6.6 4.9935 0.311167478561401 0.5 0 -1 0
lala 19 0.15 second second 15 1 428 8 5.765001 0.833396673202515 0 1 1 1
lala 11 0.075 second second 26 1 429 8 5.805001 1.55562853813171 1 0 1 0
lala 14 0.075 first first 13 1 430 6.6 5.703 0.3333899974823 0 1 1 1
lala 15 0.15 second first 5 1 431 6.6 5.628 0.155609846115112 -0.5 1 -1 1
lala 18 0.009375 second first 0 1 432 6.6 6.784124 1.36673712730408 -1 0 -1 0
lala 20 0.001171875 second second 3 1 433 8 7.439609 1.02228808403015 -1 1 1 0
lala 13 0.3 first second 1 1 434 6.6 5.478 0.966731786727905 -1 1 -1 1
lala 15 0.075 second second 2 1 435 8 7.23 1.81118774414063 -1 0 1 0
lala 16 0.00234375 second first 10 1 436 8 6.107344 0.322278738021851 -0.25 0 -1 1
lala 19 0.0046875 first first 0 1 437 6.6 6.788812 0.355612516403198 -1 0 1 1
lala 17 0.01875 first first 22 1 438 8 5.82375 0.700061559677124 0.5 0 1 1
lala 17 0.001171875 second first 10 1 439 8 6.108516 0.222277402877808 -0.25 0 -1 0
lala 16 0.075 first first 2 1 440 8 7.155 0.122276067733765 -1 0 1 0
lala 18 0.15 second first 29 1 441 6.6 5.028 0.344501256942749 2 1 -1 0
lala 11 0.0375 first first 28 1 442 6.6 5.7435 0.0222747325897217 2 0 1 0
lala 12 0.0375 second second 24 1 443 6.6 7.0935 2.15563678741455 1 0 1 1
lala 17 0.075 second first 20 1 444 6.6 5.0685 -2.40000009536743 0.5 0 -1 0
lala 17 0.15 second second 2 1 445 8 7.005 0.0778310298919678 -1 0 1 1
lala 20 0.075 first second 15 1 446 8 5.690001 0.300056219100952 0 1 -1 0
lala 9 0.3 first second 27 1 447 8 5.840002 0.788951635360718 1 1 -1 1
lala 15 0.009375 second second 21 1 448 6.6 5.956126 0.088942289352417 0.5 1 1 0
lala 18 0.009375 first first 22 1 449 8 5.814375 5.22136688232422E-05 0.5 0 1 0
lala 21 0.001171875 first first 3 1 450 8 7.438437 1.54451727867126 -1 1 1 1
lala 19 0.0375 first second 31 1 451 8 5.371252 0.200054883956909 2 1 -1 0
lala 21 0.0375 first first 15 1 452 8 5.727501 5.22136688232422E-05 0 1 1 0
lala 19 0.009375 second first 22 1 453 8 5.805 0.166721105575562 0.5 0 -1 0
lala 13 0.01875 second second 24 1 454 6.6 7.074749 0.300056219100952 1 0 1 1
lala 11 0.6 first second 19 1 455 8 5.54 0.422280073165894 0.25 1 -1 0
lala 14 0.15 second second 1 1 456 6.6 5.628 0.911175489425659 -1 1 1 1
lala 11 0.075 first second 14 1 457 8 5.805 0.177832365036011 0 0 -1 1
lala 18 0.15 second second 20 1 458 6.6 5.2185 1.51118350028992 0.5 0 1 0
lala 12 0.075 first second 26 1 459 8 5.730001 0.288944959640503 1 0 -1 0
lala 18 0.001171875 second second 10 1 460 8 6.109688 8.32238626480103 -0.25 0 1 0
lala 15 0.075 first first 1 1 461 6.6 5.553 1.38895964622498 -1 1 1 1
lala 12 0.0375 first first 14 1 462 8 5.8425 5.22136688232422E-05 0 0 1 1
lala 10 0.3 second first 23 1 463 8 4.340002 0.244499921798706 0.5 1 -1 1
lala 17 0.3 first first 9 1 464 6.6 6.677999 0.3333899974823 -0.25 1 1 1
lala 12 0.0375 first second 18 1 465 8 6.067501 0.47783637046814 0.25 0 -1 0
lala 14 0.01875 first first 24 1 466 6.6 7.055999 5.22136688232422E-05 1 0 1 0
lala 15 0.075 second second 13 1 467 6.6 5.628 0.46672511100769 0 1 1 1
lala 16 0.075 first second 1 1 468 6.6 5.478001 0.311167478561401 -1 1 -1 1
lala 15 0.15 second second 12 1 469 6.6 6.006001 0.955620527267456 0 0 1 0
lala 11 0.3 first second 23 1 470 8 4.640002 0.322278738021851 0.5 1 -1 1
lala 13 0.01875 second second 14 1 471 8 5.82375 0.544503927230835 0 0 1 0
lala 17 0.3 second second 16 1 472 6.6 6.831 0.400057554244995 0.25 0 1 1
lala 22 0.01875 second second 15 1 473 8 5.708751 2.52230834960938 0 1 1 0
lala 20 0.00234375 second first 0 1 475 6.6 6.786468 0.46672511100769 -1 0 -1 0
lala 17 0.0375 first first 1 1 476 6.6 5.515501 0.0667197704315186 -1 1 1 0
lala 21 0.001171875 second first 4 1 477 6.6 5.761077 0.366723775863647 -0.5 0 -1 0
lala 16 0.15 first second 5 1 478 6.6 5.778 2.71119976043701 -0.5 1 -1 1
lala 6 1.2 second second 17 1 479 6.6 6.378 0.166721105575562 0.25 1 1 1
lala 20 0.075 second first 31 1 480 8 5.446251 0.288944959640503 2 1 -1 0
lala 19 0.0005859375 first first 10 1 481 8 6.109102 0.277833700180054 -0.25 0 1 1
lala 21 0.15 second second 31 1 482 8 5.596251 0.222277402877808 2 1 1 1
lala 16 0.15 first first 12 1 483 6.6 5.856 0.211166143417358 0 0 1 0
lala 15 0.3 second first 11 1 484 8 5.465001 0.288944959640503 -0.25 1 -1 0
lala 12 0.0375 first first 28 1 485 6.6 5.706 0.244499921798706 2 0 1 0
lala 20 0.0005859375 second second 10 1 486 8 6.108516 0.411168813705444 -0.25 0 1 1
lala 18 0.6 second second 16 1 487 6.6 6.231 0.311167478561401 0.25 0 1 1
lala 12 0.15 first second 8 1 488 6.6 5.330999 0.522281408309937 -0.25 0 -1 1
lala 7 0.6 second second 17 1 489 6.6 5.778 0.255611181259155 0.25 1 1 1
lala 19 1.2 first second 16 1 490 6.6 5.031 1.02228808403015 0.25 0 -1 0
lala 12 0.3 second first 23 1 491 8 4.940002 0.244499921798706 0.5 1 -1 1
lala 23 0.01875 first first 15 1 493 8 5.690001 0.377835035324097 0 1 1 0
lala 13 0.0375 first second 26 1 494 8 5.767501 0.244499921798706 1 0 -1 0
lala 17 0.15 second second 5 1 495 6.6 5.928 0.244499921798706 -0.5 1 1 1
lala 15 0.6 first first 30 1 496 8 5.6925 5.22136688232422E-05 2 0 1 1
lala 14 0.01875 first first 14 1 497 8 5.804999 0.400057554244995 0 0 1 1
lala 16 0.3 second first 30 1 498 8 5.392499 0.322278738021851 2 0 -1 0
lala 16 0.009375 first first 21 1 499 6.6 5.946751 5.22136688232422E-05 0.5 1 1 0
lala 17 0.15 second first 30 1 500 8 5.5425 0.222277402877808 2 0 -1 0
lala 18 0.15 second second 30 1 501 8 5.6925 1.13340067863464 2 0 1 0
lala 19 0.075 first second 29 1 502 6.6 5.103 0.622282743453979 2 1 -1 0
lala 18 0.075 second second 5 1 503 6.6 5.853001 1.13340067863464 -0.5 1 1 0
lala 19 0.075 second first 30 1 504 8 5.6175 0.355612516403198 2 0 -1 1
lala 13 0.6 second first 25 1 505 6.6 4.578 1.32229208946228 1 1 -1 1
lala 13 0.3 second second 8 1 507 6.6 5.631 1.15562319755554 -0.25 0 1 1
lala 13 0.6 second first 23 1 508 8 5.540002 1.47784972190857 0.5 1 -1 0
lala 20 0.075 second second 29 1 509 6.6 5.177999 0.277833700180054 2 1 1 0
lala 21 0.0005859375 second first 10 1 510 8 6.10793 0.255611181259155 -0.25 0 -1 0
lala 20 0.0375 second second 30 1 511 8 5.655 1.76674270629883 2 0 1 0
lala 22 0.075 first second 31 1 512 8 5.521252 0.344501256942749 2 1 -1 1
lala 17 0.0375 first first 6 1 513 8 6.49875 0.122276067733765 -0.5 0 1 1
lala 20 0.0046875 second second 22 1 514 8 5.809687 0.411168813705444 0.5 0 1 0
lala 12 0.6 second second 19 1 515 8 6.14 0.911175489425659 0.25 1 1 0
lala 15 0.01875 first first 24 1 516 6.6 7.037249 0.0667197704315186 1 0 1 0
lala 17 0.009375 second second 21 1 517 6.6 5.937376 0.133387327194214 0.5 1 1 0
lala 17 0.15 first first 12 1 518 6.6 5.706 0.588948965072632 0 0 1 1
lala 8 0.6 second second 17 1 519 6.6 5.178 0.966731786727905 0.25 1 1 1
lala 13 0.0375 second second 28 1 520 6.6 5.6685 0.677839040756226 2 0 1 1
lala 15 0.01875 second second 14 1 521 8 5.786249 0.47783637046814 0 0 1 0
lala 14 1.2 first second 25 1 522 6.6 5.778 0.288944959640503 1 1 -1 1
lala 14 0.15 first first 8 1 523 6.6 5.480999 0.844507932662964 -0.25 0 1 0
lala 10 0.3 first first 27 1 524 8 6.140002 0.177832365036011 1 1 1 1
lala 24 0.01875 second second 15 1 525 8 5.671251 0.133387327194214 0 1 1 1
lala 23 0.0375 second second 31 1 526 8 5.558752 1.41118216514587 2 1 1 0
lala 14 1.2 second second 23 1 527 8 6.740002 0.377835035324097 0.5 1 1 0
lala 18 0.01875 first first 21 1 528 6.6 5.918625 0.622282743453979 0.5 1 1 1
lala 11 0.15 second second 27 1 529 8 5.990002 0.144498586654663 1 1 1 1
lala 16 0.075 second second 13 1 530 6.6 5.553 0.422280073165894 0 1 1 0
lala 15 2.4 first first 25 1 532 6.6 8.177999 5.22136688232422E-05 1 1 1 1
lala 12 0.15 second second 27 1 533 8 5.840002 1.42229342460632 1 1 1 1
lala 13 0.3 second first 19 1 534 8 5.84 0.433391332626343 0.25 1 -1 1
lala 19 0.075 second second 5 1 535 6.6 5.778001 1.42229342460632 -0.5 1 1 1
lala 21 0.0375 first first 29 1 537 6.6 5.1405 0.555615186691284 2 1 1 0
lala 13 0.01875 second second 18 1 538 8 6.086251 0.233388662338257 0.25 0 1 1
lala 20 0.075 second second 5 1 539 6.6 5.703001 0.988954305648804 -0.5 1 1 1
lala 16 0.0375 second second 24 1 540 6.6 6.999749 0.222277402877808 1 0 1 1
lala 21 0.01875 first first 30 1 541 8 5.63625 0.200054883956909 2 0 1 0
lala 13 0.15 first first 27 1 542 8 5.690001 1.0111768245697 1 1 1 1
lala 20 0.6 second second 16 1 543 6.6 5.631 2.81120109558105 0.25 0 1 1
lala 24 0.01875 first second 31 1 544 8 5.540001 0.300056219100952 2 1 -1 0
lala 25 0.009375 second first 31 1 545 8 5.549376 0.177832365036011 2 1 -1 0
lala 14 0.3 second second 27 1 546 8 5.390001 0.944509267807007 1 1 1 1
lala 21 0.00234375 second second 22 1 547 8 5.807343 1.1000669002533 0.5 0 1 1
lala 22 0.00234375 second first 22 1 548 8 5.805 0.811174154281616 0.5 0 -1 1
lala 18 0.01875 second first 1 1 549 6.6 5.49675 0.488947629928589 -1 1 -1 1
lala 26 0.009375 second first 31 1 551 8 5.558752 0.455613851547241 2 1 -1 1
lala 18 0.075 second second 6 1 552 8 6.42375 0.166721105575562 -0.5 0 1 0
lala 18 0.3 second second 9 1 553 6.6 6.377998 0.666727781295776 -0.25 1 1 1
lala 14 0.009375 first first 18 1 554 8 6.076876 0.888952970504761 0.25 0 1 1
lala 19 0.0375 second second 21 1 555 6.6 5.881125 0.155609846115112 0.5 1 1 1
lala 15 0.6 first second 27 1 556 8 4.790001 0.311167478561401 1 1 -1 1
lala 19 0.3 second first 9 1 557 6.6 6.077998 0.255611181259155 -0.25 1 -1 0
lala 18 0.3 second second 2 1 559 8 6.704999 0.46672511100769 -1 0 1 1
lala 15 0.15 second second 8 1 560 6.6 5.330999 0.577837705612183 -0.25 0 1 1
lala 14 0.0375 first second 26 1 561 8 5.805001 1.18895697593689 1 0 -1 1
lala 15 0.0375 second second 26 1 562 8 5.842501 0.144498586654663 1 0 1 0
lala 20 0.15 second second 9 1 563 6.6 6.227998 0.211166143417358 -0.25 1 1 1
lala 21 0.001171875 first first 0 1 565 6.6 6.78764 0.511170148849487 -1 0 1 0
lala 19 0.15 second second 6 1 566 8 6.27375 0.822285413742065 -0.5 0 1 0
lala 19 0.6 second second 2 1 567 8 6.105 0.3333899974823 -1 0 1 0
lala 16 0.0375 first first 14 1 568 8 5.748749 0.288944959640503 0 0 1 0
lala 27 0.009375 first second 31 1 569 8 5.568127 0.700061559677124 2 1 -1 0
lala 16 0.3 second first 27 1 570 8 5.090002 1.16673445701599 1 1 -1 1
lala 17 0.075 second second 14 1 571 8 5.673749 0.933398008346558 0 0 1 0
lala 15 0.009375 first second 18 1 572 8 6.067501 0.46672511100769 0.25 0 -1 1
lala 16 0.01875 second first 26 1 573 8 5.82375 0.47783637046814 1 0 -1 1
lala 21 0.15 second second 5 1 574 6.6 5.553001 1.63340759277344 -0.5 1 1 0
lala 14 0.075 first first 28 1 576 6.6 5.593501 0.90006422996521 2 0 1 1
lala 20 0.3 second second 6 1 577 8 5.97375 0.0444972515106201 -0.5 0 1 0
lala 19 0.009375 first second 1 1 578 6.6 5.506125 148.572640895844 -1 1 -1 0
lala 22 0.3 second first 5 1 579 6.6 5.253001 5.22136688232422E-05 -0.5 1 -1 0
lala 19 0.075 first second 20 1 582 6.6 5.1435 0.311167478561401 0.5 0 -1 1
lala 25 0.0375 first first 15 1 583 8 5.633751 1.06673312187195 0 1 1 0
lala 16 1.2 second first 25 1 584 6.6 6.978 0.0667197704315186 1 1 -1 0
lala 21 0.6 second first 6 1 585 8 5.37375 0.3333899974823 -0.5 0 -1 0
lala 18 0.15 first first 14 1 588 8 5.523749 0.366723775863647 0 0 1 1
lala 20 0.075 second second 21 1 590 6.6 5.806126 0.544503927230835 0.5 1 1 1
lala 9 0.6 first second 17 1 592 6.6 4.578001 0.300056219100952 0.25 1 -1 0
lala 21 0.15 second first 21 1 593 6.6 5.656126 0.366723775863647 0.5 1 -1 0
lala 22 0.075 second second 21 1 594 6.6 5.731125 0.866730451583862 0.5 1 1 0
lala 18 0.3 second second 12 1 595 6.6 5.406 2.65564346313477 0 0 1 0
lala 20 1.2 second first 2 1 597 8 4.905 0.222277402877808 -1 0 -1 1
lala 15 0.15 first second 28 1 598 6.6 5.443501 1.44451594352722 2 0 -1 0
lala 21 0.6 second first 2 1 599 8 5.505 1.35562586784363 -1 0 -1 1
lala 22 0.01875 first second 30 1 600 8 5.617499 0.866730451583862 2 0 -1 1
lala 20 0.009375 second first 1 1 601 6.6 5.515501 0.777840375900269 -1 1 -1 1
lala 23 0.009375 first second 30 1 602 8 5.626874 1.87785530090332 2 0 -1 1
lala 17 0.075 second second 24 1 604 6.6 6.924749 0.155609846115112 1 0 1 0
lala 17 0.15 first first 13 1 605 6.6 5.403 2.24452686309814 0 1 1 1
lala 20 0.0375 second first 20 1 606 6.6 5.181 1.88896656036377 0.5 0 -1 0
lala 21 0.0375 second second 20 1 607 6.6 5.2185 1.02228808403015 0.5 0 1 0
lala 17 0.3 first first 27 1 608 8 5.390002 0.455613851547241 1 1 1 1
lala 22 0.3 second second 6 1 609 8 5.67375 0.211166143417358 -0.5 0 1 1
lala 19 0.6 first first 12 1 610 6.6 4.806 0.3333899974823 0 0 1 1
lala 14 0.15 second second 19 1 611 8 5.99 0.0667197704315186 0.25 1 1 0
lala 17 0.6 first first 25 1 612 6.6 7.578 1.72229766845703 1 1 1 1
lala 18 0.3 second second 25 1 613 6.6 7.277999 0.144498586654663 1 1 1 1
lala 19 0.3 second first 14 1 614 8 5.223749 0.300056219100952 0 0 -1 0
lala 18 0.15 second second 24 1 615 6.6 6.774749 1.00006556510925 1 0 1 1
lala 23 0.15 second first 5 1 617 6.6 5.403001 1.48896098136902 -0.5 1 -1 0
lala 10 0.3 first second 17 1 619 6.6 4.878001 0.577837705612183 0.25 1 -1 1
lala 16 0.075 second second 28 1 620 6.6 5.5185 0.700061559677124 2 0 1 0
lala 24 0.15 second first 5 1 621 6.6 5.553001 0.633394002914429 -0.5 1 -1 0
lala 20 1.2 first second 12 1 622 6.6 3.606 0.544503927230835 0 0 -1 1
lala 25 0.15 second first 5 1 623 6.6 5.703001 0.444502592086792 -0.5 1 -1 0
lala 15 0.075 second second 19 1 624 8 5.915 0.733395338058472 0.25 1 1 1
lala 18 0.15 second second 27 1 625 8 5.240002 0.155609846115112 1 1 1 0
lala 26 0.3 first second 5 1 626 6.6 6.003001 0.61117148399353 -0.5 1 -1 1
lala 21 0.075 second second 9 1 628 6.6 6.152998 0.088942289352417 -0.25 1 1 0
lala 21 0.3 first second 16 1 630 6.6 5.331 0.577837705612183 0.25 0 -1 0
lala 19 0.15 second first 27 1 632 8 5.090002 0.388946294784546 1 1 -1 1
lala 17 0.0375 second first 28 1 633 6.6 5.481 0.266722440719604 2 0 -1 1
lala 21 0.6 first second 12 1 634 6.6 4.206 0.133387327194214 0 0 -1 1
lala 16 0.075 first first 19 1 635 8 5.840001 0.444502592086792 0.25 1 1 1
lala 27 0.6 first first 5 1 636 6.6 6.603001 1.55562853813171 -0.5 1 1 1
lala 16 0.0046875 first first 18 1 637 8 6.072188 1.83341026306152 0.25 0 1 1
lala 19 0.3 second second 25 1 638 6.6 6.977999 0.655616521835327 1 1 1 0
lala 24 0.009375 second first 30 1 639 8 5.63625 1.47784972190857 2 0 -1 0
lala 26 0.075 first second 15 1 640 8 5.558751 0.688950300216675 0 1 -1 1
lala 22 0.15 second first 16 1 641 6.6 5.481 0.666727781295776 0.25 0 -1 1
lala 17 0.075 first second 19 1 642 8 5.765001 0.877841711044312 0.25 1 -1 1
lala 23 0.15 second second 16 1 643 6.6 5.631 1.21117949485779 0.25 0 1 1
lala 18 0.0375 second first 19 1 644 8 5.802501 1.36673712730408 0.25 1 -1 0
lala 17 0.009375 first first 26 1 645 8 5.833126 0.833396673202515 1 0 1 1
lala 22 0.075 first first 9 1 646 6.6 6.077999 1.31118083000183 -0.25 1 1 1
lala 18 0.3 first second 13 1 648 6.6 5.103 1.08895564079285 0 1 -1 0
