subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 4 1.2 first second 14 1 73 8 4.08 1.66674137115479 0 0 -1 1
lala 6 0.6 second first 16 1 74 6.6 6.156 0.911175489425659 0.25 0 -1 1
lala 4 1.2 first first 22 1 75 8 6.48 1.64451885223389 0.5 0 1 1
lala 3 1.2 first first 23 1 76 8 8.240001 1.13340067863464 0.5 1 1 0
lala 3 1.2 first first 5 1 77 6.6 6.378 0.75561785697937 -0.5 1 1 1
lala 4 1.2 second second 13 1 78 6.6 7.578 0.888952970504761 0 1 1 0
lala 2 1.2 second first 12 1 79 6.6 5.556 3.12231636047363 0 0 -1 0
lala 4 1.2 second second 23 1 80 8 7.040001 1.48896098136902 0.5 1 1 1
lala 3 1.2 first first 15 1 81 8 8.240001 3.78899192810059 0 1 1 0
lala 2 1.2 second first 25 1 82 6.6 7.578 1.91118907928467 1 1 -1 1
lala 3 1.2 second first 10 1 83 8 5.280001 2.38897323608398 -0.25 0 -1 0
lala 3 1.2 second second 12 1 84 6.6 6.756 170.056283473969 0 0 1 1
lala 5 0.6 first first 22 1 85 8 5.88 2.53341960906982 0.5 0 1 1
lala 4 1.2 second first 15 1 86 8 7.040001 1.43340468406677 0 1 -1 0
lala 2 1.2 first second 6 1 87 8 6.48 0.511170148849487 -0.5 0 -1 0
lala 2 1.2 second second 31 1 88 8 9.440001 0.46672511100769 2 1 1 1
lala 3 1.2 first first 6 1 89 8 7.68 0.18894362449646 -0.5 0 1 1
lala 3 1.2 second second 26 1 90 8 5.280001 2.31119441986084 1 0 1 0
lala 5 0.6 second second 30 1 91 8 4.68 1.27784705162048 2 0 1 1
lala 6 0.6 second second 3 1 92 8 8.240001 0.411168813705444 -1 1 1 0
lala 4 1.2 first second 4 1 93 6.6 5.556 0.488947629928589 -0.5 0 -1 1
lala 2 1.2 second second 28 1 94 6.6 5.556 0.955620527267456 2 0 1 0
lala 3 1.2 second second 31 1 95 8 8.240001 1.51118350028992 2 1 1 1
lala 7 0.3 first second 16 1 96 6.6 6.456 1.0333993434906 0.25 0 -1 1
lala 2 1.2 second first 8 1 97 6.6 3.156 0.433391332626343 -0.25 0 -1 1
lala 3 1.2 first first 25 1 98 6.6 8.778 0.566726446151733 1 1 1 1
lala 4 1.2 first first 5 1 99 6.6 5.178 0.877841711044312 -0.5 1 1 0
lala 2 1.2 second second 18 1 100 8 6.48 1.41118216514587 0.25 0 1 1
lala 7 0.3 first first 3 1 101 8 7.940001 0.266722440719604 -1 1 1 0
lala 3 1.2 first second 18 1 102 8 5.280001 1.18895697593689 0.25 0 -1 0
lala 4 1.2 second second 31 1 103 8 7.040001 0.255611181259155 2 1 1 1
lala 5 0.6 first first 15 1 104 8 7.640001 0.344501256942749 0 1 1 0
lala 6 0.3 second first 15 1 105 8 7.340001 2.94453620910645 0 1 -1 0
lala 6 0.6 first second 22 1 106 8 5.28 0.633394002914429 0.5 0 -1 1
lala 7 0.3 second first 22 1 107 8 5.58 4.9667854309082 0.5 0 -1 1
lala 1 1.2 first first 19 1 108 8 10.64 0.922286748886108 0.25 1 1 1
lala 2 1.2 first first 19 1 109 8 9.440001 3.22231769561768 0.25 1 1 0
lala 5 2.4 first second 11 1 110 8 4.640001 1.13340067863464 -0.25 1 -1 1
lala 4 1.2 first first 12 1 111 6.6 5.556 1.65563011169434 0 0 1 1
lala 6 0.3 first second 30 1 112 8 4.38 0.366723775863647 2 0 -1 1
lala 4 1.2 first first 25 1 113 6.6 7.578 0.100053548812866 1 1 1 0
lala 4 1.2 first first 29 1 114 6.6 7.578 0.100053548812866 2 1 1 1
lala 4 1.2 first second 6 1 115 8 6.48 0.722284078598022 -0.5 0 -1 1
lala 4 1.2 second first 26 1 116 8 4.080001 0.355612516403198 1 0 -1 0
lala 5 0.6 second second 13 1 117 6.6 6.978 0.966731786727905 0 1 1 0
lala 3 1.2 second second 19 1 118 8 8.240001 0.866730451583862 0.25 1 1 1
lala 3 1.2 first second 21 1 119 6.6 6.378 0.866730451583862 0.5 1 -1 0
lala 4 1.2 second first 19 1 120 8 7.040001 8.33349752426147 0.25 1 -1 1
lala 8 0.3 first second 22 1 121 8 5.88 0.377835035324097 0.5 0 -1 1
lala 3 1.2 first second 0 1 122 6.6 6.756 0.500058889389038 -1 0 -1 0
lala 2 1.2 first second 1 1 123 6.6 7.578 3.30009651184082 -1 1 -1 1
lala 8 0.3 second second 3 1 124 8 7.64 0.600060224533081 -1 1 1 1
lala 5 0.6 second first 14 1 125 8 4.68 0.355612516403198 0 0 -1 1
lala 5 0.6 second second 4 1 126 6.6 6.156 2.52230834960938 -0.5 0 1 0
lala 5 1.2 first second 29 1 127 6.6 6.378 0.733395338058472 2 1 -1 1
lala 4 1.2 first first 0 1 128 6.6 7.955999 0.644505262374878 -1 0 1 1
lala 5 0.6 second second 0 1 129 6.6 7.355999 2.1445255279541 -1 0 1 1
lala 6 1.2 first first 11 1 130 8 5.840001 1.35562586784363 -0.25 1 1 0
lala 6 0.6 second first 0 1 131 6.6 6.756 2.03341293334961 -1 0 -1 0
lala 9 0.3 first second 3 1 132 8 7.34 1.36673712730408 -1 1 -1 0
lala 7 0.15 second second 15 1 133 8 7.490001 0.955620527267456 0 1 1 0
lala 5 2.4 second second 24 1 134 6.6 7.956 1.37784838676453 1 0 1 1
lala 4 1.2 second second 21 1 135 6.6 7.578 0.400057554244995 0.5 1 1 0
lala 7 0.15 first first 30 1 136 8 4.53 1.71118640899658 2 0 1 0
lala 6 1.2 second first 24 1 137 6.6 6.756 1.18895697593689 1 0 -1 1
lala 3 1.2 second first 2 1 138 8 5.28 2.8889799118042 -1 0 -1 1
lala 6 0.6 second second 13 1 139 6.6 6.378 0.555615186691284 0 1 1 1
lala 6 0.3 first first 4 1 140 6.6 5.855999 4.17788600921631 -0.5 0 1 1
lala 4 1.2 second first 2 1 141 8 6.48 0.555615186691284 -1 0 -1 1
lala 5 0.6 second second 6 1 142 8 7.08 1.16673445701599 -0.5 0 1 0
lala 5 2.4 second second 2 1 143 8 8.879999 0.433391332626343 -1 0 1 0
lala 3 1.2 second first 8 1 144 6.6 4.356 0.566726446151733 -0.25 0 -1 1
lala 7 0.3 second first 4 1 145 6.6 5.555999 1.66674137115479 -0.5 0 -1 0
lala 6 1.2 second second 2 1 146 8 7.679999 2.30008316040039 -1 0 1 0
lala 8 0.075 first second 30 1 147 8 4.455 0.90006422996521 2 0 -1 0
lala 4 1.2 second second 18 1 148 8 6.48 0.655616521835327 0.25 0 1 1
lala 4 1.2 second second 8 1 149 6.6 5.556 10.0224089622498 -0.25 0 1 1
lala 6 0.6 second second 9 1 150 6.6 8.777999 0.255611181259155 -0.25 1 1 1
lala 1 1.2 second first 7 1 151 8 10.64 2.26674938201904 -0.5 1 -1 0
lala 7 0.6 first first 11 1 152 8 5.240001 1.0333993434906 -0.25 1 1 1
lala 8 0.3 second first 16 1 153 6.6 6.756 1.87785530090332 0.25 0 -1 0
lala 5 1.2 second second 25 1 154 6.6 6.378 1.74452018737793 1 1 1 1
lala 2 1.2 second second 17 1 155 6.6 9.978 0.244499921798706 0.25 1 1 1
lala 6 2.4 second second 25 1 156 6.6 3.978 8.32238626480103 1 1 1 1
lala 5 2.4 second first 5 1 157 6.6 2.778 0.366723775863647 -0.5 1 -1 0
lala 7 0.3 second second 0 1 158 6.6 7.056 0.288944959640503 -1 0 1 0
lala 4 1.2 first first 20 1 159 6.6 5.556 0.300056219100952 0.5 0 1 1
