subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 17 1 1 -8 -10.64 6.64001703262329 0.25 1 1
lala 1 1.2 first first 7 1 2 8 10.64 0.459997892379761 -0.25 1 1
lala 1 1.2 first first 13 1 3 6.6 8.778 0.39999794960022 0 1 1
lala 1 1.2 second second 11 1 4 -6.6 -8.778 0.299998044967651 0 1 1
lala 1 1.2 second second 10 1 5 -6.6 -4.356 0.879997491836548 0 0 1
lala 1 1.2 first first 5 1 6 6.6 8.778 0.379997968673706 -0.25 1 1
lala 1 1.2 second first 20 1 7 6.6 4.356 0.299998044967651 0.25 0 -1
lala 2 1.2 second second 13 1 8 6.6 7.578 0.319998025894165 0 1 1
lala 1 1.2 second second 14 1 9 8 5.28 0.499997854232788 0 0 1
lala 1 1.2 second second 23 1 10 8 10.64 0.23999810218811 0.25 1 1
lala 1 1.2 first first 19 1 11 -6.6 -8.778 0.339998006820679 0.25 1 1
lala 1 1.2 first first 12 1 12 6.6 4.356 0.539997816085815 0 0 1
lala 2 1.2 second first 12 1 13 6.6 3.156 0.319998025894165 0 0 -1
lala 1 1.2 first second 16 1 14 -8 -5.28 0.379997968673706 0.25 0 -1
lala 2 1.2 second second 17 1 15 -8 -9.440001 0.339998006820679 0.25 1 1
lala 3 1.2 second second 13 1 16 6.6 6.378 0.339998006820679 0 1 1
lala 3 1.2 second second 17 1 17 -8 -8.240001 0.299998044967651 0.25 1 1
lala 2 1.2 second first 14 1 18 8 4.08 0.279998064041138 0 0 -1
lala 1 1.2 second first 8 1 19 -8 -5.28 0.299998044967651 0 0 -1
lala 2 1.2 second second 23 1 20 8 9.440001 0.279998064041138 0.25 1 1
lala 2 1.2 first first 11 1 21 -6.6 -7.578 0.359997987747192 0 1 1
lala 1 1.2 first first 1 1 22 -8 -10.64 0.319998025894165 -0.25 1 1
lala 1 1.2 first first 3 1 23 -6.6 -8.778 0.359997987747192 -0.25 1 1
lala 1 1.2 second second 21 1 24 6.6 8.778 0.339998006820679 0.25 1 1
lala 1 1.2 first first 6 1 25 8 5.28 0.499997854232788 -0.25 0 1
lala 1 1.2 first second 2 1 26 -6.6 -4.356 0.339998006820679 -0.25 0 -1
lala 2 1.2 first first 19 1 27 -6.6 -7.578 0.319998025894165 0.25 1 1
lala 2 1.2 first first 21 1 28 6.6 7.578 0.23999810218811 0.25 1 1
lala 4 1.2 second first 13 1 29 6.6 5.178 0.219998121261597 0 1 -1
lala 3 1.2 first first 19 1 30 -6.6 -6.378 0.199998140335083 0.25 1 1
lala 1 1.2 first first 9 1 31 -8 -10.64 0.319998025894165 0 1 1
lala 2 1.2 first first 20 1 32 6.6 5.556 10.3001008033752 0.25 0 1
lala 2 1.2 second first 8 1 33 -8 -6.48 0.459997892379761 0 0 -1
lala 1 1.2 first first 15 1 34 8 10.64 0.259998083114624 0 1 1
lala 2 1.2 second first 15 1 35 8 9.440001 0.179998159408569 0 1 -1
lala 3 1.2 first first 15 1 36 8 10.64 0.259998083114624 0 1 1
lala 4 1.2 first first 17 1 37 -8 -7.040001 0.279998064041138 0.25 1 1
lala 2 1.2 first first 3 1 38 -6.6 -7.578 0.23999810218811 -0.25 1 1
lala 3 1.2 first first 8 1 39 -8 -7.68 0.259998083114624 0 0 1
lala 1 1.2 first first 0 1 40 -8 -5.28 0.939997434616089 -0.25 0 1
lala 1 1.2 second first 4 1 41 6.6 4.356 1.41999697685242 -0.25 0 -1
lala 2 1.2 first first 16 1 42 -8 -6.48 0.299998044967651 0.25 0 1
lala 3 1.2 first second 21 1 43 6.6 6.378 0.359997987747192 0.25 1 -1
lala 2 1.2 first second 4 1 44 6.6 5.556 0.359997987747192 -0.25 0 -1
lala 1 1.2 first first 22 1 45 8 5.28 0.199998140335083 0.25 0 1
lala 5 2.4 second first 17 1 46 -8 -4.640001 0.179998159408569 0.25 1 -1
lala 5 0.6 second second 13 1 47 6.6 5.778 0.719997644424438 0 1 1
lala 2 1.2 second second 7 1 48 8 9.440001 0.219998121261597 -0.25 1 1
lala 3 1.2 first second 12 1 49 6.6 4.356 0.339998006820679 0 0 -1
lala 6 1.2 second second 17 1 50 -8 -5.840001 0.23999810218811 0.25 1 1
lala 2 1.2 second second 9 1 51 -8 -9.440001 0.339998006820679 0 1 1
lala 2 1.2 first second 0 1 52 -8 -4.08 0.259998083114624 -0.25 0 -1
lala 3 1.2 second second 14 1 53 8 5.28 0.279998064041138 0 0 1
lala 4 1.2 second second 21 1 54 6.6 7.578 0.279998064041138 0.25 1 1
lala 5 0.6 second first 21 1 55 6.6 6.978 0.199998140335083 0.25 1 -1
lala 6 0.3 first first 21 1 56 6.6 7.278 0.279998064041138 0.25 1 1
lala 3 1.2 second first 3 1 57 -6.6 -6.378 0.199998140335083 -0.25 1 -1
lala 3 1.2 first first 7 1 58 8 8.240001 0.359997987747192 -0.25 1 1
lala 4 1.2 second first 19 1 59 -6.6 -5.178 0.459997892379761 0.25 1 -1
lala 6 0.3 first first 13 1 60 6.6 5.478 0.259998083114624 0 1 1
lala 2 1.2 second second 1 1 61 -8 -9.440001 0.259998083114624 -0.25 1 1
lala 2 1.2 first first 2 1 62 -6.6 -5.556 0.359997987747192 -0.25 0 1
lala 7 0.3 second first 13 1 63 6.6 5.178 0.23999810218811 0 1 -1
lala 7 0.6 second first 17 1 64 -8 -5.240001 0.339998006820679 0.25 1 -1
lala 2 1.2 second first 22 1 65 8 4.08 0.439997911453247 0.25 0 -1
lala 3 1.2 first second 23 1 66 8 8.240001 0.319998025894165 0.25 1 -1
lala 3 1.2 first first 16 1 67 -8 -5.280001 0.299998044967651 0.25 0 1
lala 3 1.2 first first 2 1 68 -6.6 -4.356 0.479997873306274 -0.25 0 1
lala 4 1.2 second second 23 1 69 8 9.440001 0.219998121261597 0.25 1 1
lala 7 0.15 first first 21 1 70 6.6 7.128 0.259998083114624 0.25 1 1
lala 3 1.2 first second 0 1 71 -8 -5.28 0.299998044967651 -0.25 0 -1
lala 3 1.2 first second 20 1 72 6.6 4.356 0.279998064041138 0.25 0 -1
lala 2 1.2 first second 10 1 73 -6.6 -3.156 0.279998064041138 0 0 -1
lala 4 1.2 first first 0 1 74 -8 -6.48 0.319998025894165 -0.25 0 1
lala 2 1.2 first second 5 1 75 6.6 7.578 0.23999810218811 -0.25 1 -1
lala 3 1.2 first first 4 1 76 6.6 6.756 0.299998044967651 -0.25 0 1
lala 3 1.2 first first 1 1 77 -8 -8.240001 0.199998140335083 -0.25 1 1
lala 5 0.6 first first 19 1 78 -6.6 -5.778 0.499997854232788 0.25 1 1
lala 1 1.2 first second 18 1 79 -6.6 -4.356 0.319998025894165 0.25 0 -1
lala 3 1.2 second first 10 1 80 -6.6 -4.356 0.23999810218811 0 0 -1
lala 4 1.2 first second 3 1 81 -6.6 -7.578 0.319998025894165 -0.25 1 -1
lala 4 1.2 first second 14 1 82 8 4.08 0.319998025894165 0 0 -1
lala 3 1.2 first first 9 1 83 -8 -8.240001 0.299998044967651 0 1 1
lala 3 1.2 first first 11 1 84 -6.6 -6.378 0.299998044967651 0 1 1
lala 4 1.2 second first 4 1 85 6.6 5.556 0.23999810218811 -0.25 0 -1
lala 4 1.2 first first 9 1 86 -8 -7.040001 0.259998083114624 0 1 1
lala 4 1.2 first first 11 1 87 -6.6 -5.178 0.299998044967651 0 1 1
lala 5 2.4 second first 9 1 88 -8 -4.640001 0.199998140335083 0 1 -1
lala 5 0.6 second second 0 1 89 -8 -5.88 0.259998083114624 -0.25 0 1
lala 8 0.15 second second 21 1 90 6.6 6.978 0.819997549057007 0.25 1 1
lala 5 2.4 second first 11 1 91 -6.6 -2.778 0.279998064041138 0 1 -1
lala 6 0.6 first first 0 1 92 -8 -5.28 0.419997930526733 -0.25 0 1
lala 5 0.6 second second 23 1 93 8 8.84 0.219998121261597 0.25 1 1
lala 4 1.2 second first 16 1 94 -8 -4.080001 0.259998083114624 0.25 0 -1
lala 4 1.2 second second 7 1 95 8 7.040001 0.599997758865356 -0.25 1 1
lala 4 1.2 second first 12 1 96 6.6 5.556 1.15999722480774 0 0 -1
lala 2 1.2 first second 6 1 97 8 4.08 0.339998006820679 -0.25 0 -1
lala 3 1.2 first first 22 1 98 8 5.28 0.339998006820679 0.25 0 1
lala 4 1.2 first first 1 1 99 -8 -7.040001 0.259998083114624 -0.25 1 1
lala 4 1.2 second first 2 1 100 -6.6 -3.156 0.279998064041138 -0.25 0 -1
lala 5 0.6 first second 2 1 101 -6.6 -3.756 0.379997968673706 -0.25 0 -1
lala 5 2.4 first first 1 1 102 -8 -4.640001 0.299998044967651 -0.25 1 1
lala 5 2.4 first first 12 1 103 6.6 7.956 0.219998121261597 0 0 1
lala 5 0.6 first second 16 1 104 -8 -4.680001 0.259998083114624 0.25 0 -1
lala 9 0.15 first first 21 1 105 6.6 6.828 0.359997987747192 0.25 1 1
lala 4 1.2 first first 10 1 106 -6.6 -5.556 0.259998083114624 0 0 1
lala 4 1.2 first first 20 1 107 6.6 5.556 0.319998025894165 0.25 0 1
lala 4 1.2 second second 15 1 108 8 9.440001 0.23999810218811 0 1 1
lala 5 1.2 second second 15 1 109 8 8.240001 0.259998083114624 0 1 1
lala 8 0.3 second second 17 1 110 -8 -5.540001 0.159998178482056 0.25 1 1
lala 6 1.2 second first 11 1 111 -6.6 -3.978 0.219998121261597 0 1 -1
lala 9 0.15 first second 17 1 112 -8 -5.390001 0.279998064041138 0.25 1 -1
lala 6 1.2 first first 12 1 113 6.6 6.756 0.39999794960022 0 0 1
lala 6 0.3 second second 19 1 114 -6.6 -5.478 0.299998044967651 0.25 1 1
lala 8 0.15 first first 13 1 115 6.6 5.328 0.499997854232788 0 1 1
lala 6 1.2 second second 9 1 116 -8 -5.840001 0.23999810218811 0 1 1
lala 7 1.2 second second 11 1 117 -6.6 -5.178 0.279998064041138 0 1 1
lala 5 0.6 first first 20 1 118 6.6 4.956 0.299998044967651 0.25 0 1
lala 5 0.6 second second 10 1 119 -6.6 -4.956 0.199998140335083 0 0 1
lala 8 0.6 second second 11 1 120 -6.6 -4.578001 0.219998121261597 0 1 1
lala 5 1.2 first first 3 1 121 -6.6 -8.778 0.179998159408569 -0.25 1 1
lala 7 1.2 second second 12 1 122 6.6 5.556 0.319998025894165 0 0 1
lala 5 0.6 first first 4 1 123 6.6 6.156 0.179998159408569 -0.25 0 1
lala 7 0.6 second second 9 1 124 -8 -5.240001 0.379997968673706 0 1 1
lala 6 0.6 first first 2 1 125 -6.6 -4.356 0.299998044967651 -0.25 0 1
lala 6 0.6 second first 16 1 126 -8 -5.280001 0.459997892379761 0.25 0 -1
lala 6 0.6 first second 10 1 127 -6.6 -4.356 0.519997835159302 0 0 -1
lala 7 0.3 first first 19 1 128 -6.6 -5.178 0.259998083114624 0.25 1 1
lala 3 1.2 second second 5 1 129 6.6 8.778 0.39999794960022 -0.25 1 1
lala 7 0.6 first first 16 1 130 -8 -5.880001 0.279998064041138 0.25 0 1
lala 3 1.2 first second 6 1 131 8 5.28 0.299998044967651 -0.25 0 -1
lala 7 0.6 second second 0 1 132 -8 -4.68 0.279998064041138 -0.25 0 1
lala 4 1.2 first second 22 1 133 8 4.08 0.259998083114624 0.25 0 -1
lala 10 0.075 first first 17 1 134 -8 -5.465001 0.219998121261597 0.25 1 1
lala 5 0.6 second first 14 1 135 8 4.68 0.199998140335083 0 0 -1
lala 4 1.2 second second 5 1 136 6.6 7.578 0.259998083114624 -0.25 1 1
lala 7 0.3 second second 2 1 137 -6.6 -4.056 0.299998044967651 -0.25 0 1
lala 7 0.3 second first 10 1 138 -6.6 -4.656 0.219998121261597 0 0 -1
lala 9 0.075 first second 13 1 139 6.6 5.253 0.299998044967651 0 1 -1
lala 4 1.2 first first 8 1 140 -8 -6.48 0.179998159408569 0 0 1
lala 11 0.0375 first first 17 1 141 -8 -5.427501 0.319998025894165 0.25 1 1
lala 6 0.6 first first 14 1 142 8 5.28 0.23999810218811 0 0 1
lala 5 1.2 first second 8 1 143 -8 -5.280001 0.319998025894165 0 0 -1
lala 9 0.6 first second 11 1 144 -6.6 -3.978001 0.259998083114624 0 1 -1
lala 8 0.3 first second 19 1 145 -6.6 -4.878 0.279998064041138 0.25 1 -1
lala 5 1.2 second second 5 1 146 6.6 6.378 0.219998121261597 -0.25 1 1
lala 8 0.3 first first 2 1 147 -6.6 -3.756 1.81999683380127 -0.25 0 1
lala 6 2.4 first first 15 1 148 8 5.840001 0.199998140335083 0 1 1
lala 9 0.3 second second 2 1 149 -6.6 -3.456 0.219998121261597 -0.25 0 1
lala 8 1.2 first second 0 1 150 -8 -3.48 0.279998064041138 -0.25 0 -1
lala 10 0.0375 first first 13 1 151 6.6 5.2905 0.179998159408569 0 1 1
lala 6 0.3 second second 4 1 152 6.6 5.855999 0.23999810218811 -0.25 0 1
lala 6 4.8 first second 1 1 153 -8 0.1599994 1.15999722480774 -0.25 1 -1
lala 6 0.6 second second 8 1 154 -8 -5.880001 0.859997510910034 0 0 1
lala 10 0.6 second first 2 1 155 -6.6 -2.856 0.179998159408569 -0.25 0 -1
lala 10 0.3 second first 11 1 156 -6.6 -4.278001 1.57999682426453 0 1 -1
lala 7 0.3 first first 4 1 157 6.6 5.555999 0.279998064041138 -0.25 0 1
lala 7 4.8 second first 15 1 158 8 1.04 0.559997797012329 0 1 -1
lala 8 0.6 second second 9 1 159 -8 -4.640001 1.59999680519104 0 1 1
lala 8 0.3 first first 10 1 160 -6.6 -4.956 0.599997758865356 0 0 1
lala 7 2.4 first second 1 1 161 -8 -2.240001 0.879997491836548 -0.25 1 -1
lala 9 0.15 second second 10 1 162 -6.6 -4.806 1.03999733924866 0 0 1
lala 5 0.6 first first 22 1 163 8 4.68 0.519997835159302 0.25 0 1
lala 12 0.0375 second second 17 1 164 -8 -5.390001 0.559997797012329 0.25 1 1
lala 6 0.6 first first 3 1 165 -6.6 -8.177999 0.219998121261597 -0.25 1 1
lala 4 1.2 second second 6 1 166 8 6.48 0.439997911453247 -0.25 0 1
lala 13 0.0375 first second 17 1 167 -8 -5.352501 0.739997625350952 0.25 1 -1
lala 8 2.4 first second 15 1 168 8 3.440001 0.279998064041138 0 1 -1
lala 6 0.6 first second 20 1 169 6.6 4.356 0.299998044967651 0.25 0 -1
lala 6 2.4 second first 5 1 170 6.6 3.978 1.21999716758728 -0.25 1 -1
lala 11 0.01875 second second 13 1 171 6.6 5.27175 0.299998044967651 0 1 1
lala 7 0.3 first first 20 1 172 6.6 4.656 0.279998064041138 0.25 0 1
lala 5 2.4 first second 7 1 173 8 4.640001 0.299998044967651 -0.25 1 -1
lala 14 0.01875 second second 17 1 174 -8 -5.371252 0.23999810218811 0.25 1 1
lala 11 0.3 second first 11 1 175 -6.6 -4.578001 0.23999810218811 0 1 -1
lala 2 1.2 first first 18 1 176 -6.6 -5.556 0.179998159408569 0.25 0 1
lala 7 1.2 first first 5 1 177 6.6 5.178 0.339998006820679 -0.25 1 1
lala 7 0.3 first second 14 1 178 8 4.98 0.279998064041138 0 0 -1
lala 15 0.009375 first first 17 1 179 -8 -5.361876 0.499997854232788 0.25 1 1
lala 9 0.6 first second 0 1 180 -8 -4.08 0.299998044967651 -0.25 0 -1
lala 7 0.6 first first 3 1 181 -6.6 -7.578 0.199998140335083 -0.25 1 1
lala 12 0.3 second second 11 1 182 -6.6 -4.878001 1.29999709129334 0 1 1
lala 8 0.3 second second 4 1 183 6.6 5.255999 0.139998197555542 -0.25 0 1
lala 16 0.009375 first first 17 1 184 -8 -5.352501 0.659997701644897 0.25 1 1
lala 8 0.15 second first 20 1 185 6.6 4.506 0.459997892379761 0.25 0 -1
lala 7 0.3 second second 8 1 186 -8 -5.58 1.25999712944031 0 0 1
lala 13 0.15 second second 11 1 187 -6.6 -4.728001 0.159998178482056 0 1 1
lala 10 0.15 first first 10 1 188 -6.6 -4.656 0.199998140335083 0 0 1
lala 6 0.3 second first 22 1 189 8 4.38 0.179998159408569 0.25 0 -1
lala 14 0.15 second first 11 1 190 -6.6 -4.578001 0.23999810218811 0 1 -1
lala 8 0.15 first first 14 1 191 8 5.13 0.219998121261597 0 0 1
lala 15 0.075 second second 11 1 192 -6.6 -4.653001 0.23999810218811 0 1 1
lala 8 1.2 second second 12 1 193 6.6 4.356 0.279998064041138 0 0 1
