subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 4 1.2 second second 18 1 75 -6.6 -5.556 0.819997549057007 0.25 0 1
lala 3 1.2 first first 17 1 76 -8 -8.240001 0.279998064041138 0.25 1 1
lala 5 1.2 first first 4 1 77 6.6 4.356 0.61999773979187 -0.25 0 1
lala 2 1.2 first first 12 1 78 6.6 5.556 1.45999693870544 0 0 1
lala 7 0.3 second first 23 1 79 8 7.04 0.479997873306274 0.25 1 -1
lala 2 1.2 second second 1 1 80 -8 -9.440001 0.519997835159302 -0.25 1 1
lala 3 1.2 second second 9 1 81 -8 -10.64 0.719997644424438 0 1 1
lala 3 1.2 second second 22 1 82 8 5.280001 1.55999684333801 0.25 0 1
lala 5 0.6 first second 8 1 83 -8 -4.680001 1.03999733924866 0 0 -1
lala 3 1.2 first first 12 1 84 6.6 4.356 0.519997835159302 0 0 1
lala 2 1.2 second first 13 1 85 6.6 7.578 0.539997816085815 0 1 -1
lala 3 1.2 second second 2 1 86 -6.6 -6.756 0.359997987747192 -0.25 0 1
lala 4 1.2 second first 12 1 87 6.6 3.156 3.39999532699585 0 0 -1
lala 3 1.2 second first 19 1 88 -6.6 -6.378 2.03999662399292 0.25 1 -1
lala 4 1.2 second first 2 1 89 -6.6 -5.556 0.379997968673706 -0.25 0 -1
lala 2 1.2 first first 16 1 90 -8 -6.48 0.379997968673706 0.25 0 1
lala 4 1.2 second first 11 1 91 -6.6 -5.178 0.719997644424438 0 1 -1
lala 8 0.15 first first 23 1 92 8 7.190001 0.319998025894165 0.25 1 1
lala 5 0.6 first first 5 1 93 6.6 9.377999 0.459997892379761 -0.25 1 1
lala 3 1.2 second second 6 1 94 8 5.280001 1.35999703407288 -0.25 0 1
lala 5 0.6 first first 2 1 95 -6.6 -6.156 0.359997987747192 -0.25 0 1
lala 5 1.2 second first 20 1 96 6.6 4.356 505.479424953461 0.25 0 -1
lala 7 0.3 second first 0 1 97 -8 -5.58 1.8599967956543 -0.25 0 -1
lala 5 0.6 first first 11 1 98 -6.6 -5.778 0.299998044967651 0 1 1
lala 5 0.6 first first 3 1 99 -6.6 -6.978 0.479997873306274 -0.25 1 1
lala 7 0.15 second first 14 1 100 8 4.53 0.539997816085815 0 0 -1
lala 3 1.2 second second 13 1 101 6.6 8.778 0.559997797012329 0 1 1
lala 4 1.2 first second 19 1 102 -6.6 -7.578 0.439997911453247 0.25 1 -1
lala 6 0.3 first first 11 1 103 -6.6 -5.478 1.49999690055847 0 1 1
lala 4 1.2 second second 13 1 104 6.6 7.578 0.339998006820679 0 1 1
lala 8 0.15 first first 14 1 105 8 4.68 0.759997606277466 0 0 1
lala 4 1.2 second second 9 1 106 -8 -9.440001 0.279998064041138 0 1 1
lala 6 0.6 first second 8 1 107 -8 -5.280001 0.699997663497925 0 0 -1
lala 3 1.2 second first 1 1 108 -8 -8.240001 2.35999631881714 -0.25 1 -1
lala 9 0.075 first second 14 1 109 8 4.605 0.859997510910034 0 0 -1
lala 7 0.3 first first 11 1 110 -6.6 -5.178 0.899997472763062 0 1 1
lala 10 0.0375 first second 14 1 111 8 4.6425 1.21999716758728 0 0 -1
lala 5 2.4 first first 9 1 112 -8 -7.04 3.31999540328979 0 1 1
lala 6 0.6 second second 5 1 113 6.6 8.777999 0.339998006820679 -0.25 1 1
lala 5 1.2 first first 13 1 114 6.6 6.378 0.23999810218811 0 1 1
lala 5 1.2 first first 19 1 115 -6.6 -8.778 1.01999735832214 0.25 1 1
lala 8 0.15 first second 0 1 116 -8 -5.73 1.03999733924866 -0.25 0 -1
lala 3 1.2 second second 15 1 117 8 8.240001 0.259998083114624 0 1 1
lala 6 0.6 second second 19 1 118 -6.6 -8.177999 0.699997663497925 0.25 1 1
lala 7 0.6 first first 5 1 119 6.6 8.177999 0.499997854232788 -0.25 1 1
lala 6 0.6 second first 20 1 120 6.6 4.956 0.719997644424438 0.25 0 -1
lala 5 0.6 first first 12 1 121 6.6 3.756 0.479997873306274 0 0 1
lala 9 0.15 second second 0 1 122 -8 -5.880001 0.939997434616089 -0.25 0 1
lala 9 0.075 first first 23 1 123 8 7.115001 0.339998006820679 0.25 1 1
