"","RegressionCoefficient","SE","CI_Lower","CI_Higher","Signifant"
"(Intercept)",-2.76,0.25,-3.26,-2.22,"*"
"Congruentcongruent",0.03,0.16,-0.34,0.34,"n.s."
"Congruentincongruent",0.2,0.15,-0.13,0.52,"n.s."
"velH_Pest",0.59,0.05,0.5,0.67,"*"
"Congruentcongruent:velH_Pest",-0.01,0.02,-0.06,0.04,"n.s."
"Congruentincongruent:velH_Pest",-0.06,0.03,-0.12,0,"n.s."
