"","RegressionCoefficient","SE","CI_Lower","CI_Higher","Signifant"
"(Intercept)",-2.81,0.26,-3.37,-2.28,"*"
"Congruentcongruent",0.24,0.13,-0.05,0.54,"n.s."
"Congruentincongruent",0.19,0.15,-0.14,0.56,"n.s."
"velH_Pest",0.6,0.05,0.49,0.71,"*"
"Congruentcongruent:velH_Pest",-0.03,0.02,-0.09,0.02,"n.s."
"Congruentincongruent:velH_Pest",-0.05,0.02,-0.12,0.01,"n.s."
