"","RegressionCoefficient","SE","CI_Lower","CI_Higher","Signifant"
"(Intercept)",1.41,0.18,1.07,1.79,"*"
"Congruentcongruent",0.03,0.06,-0.09,0.16,"n.s."
"Congruentincongruent",-0.22,0.05,-0.33,-0.1,"*"
"Difference",0.55,0.04,0.47,0.63,"*"
"Congruentcongruent:Difference",0,0.02,-0.04,0.06,"n.s."
"Congruentincongruent:Difference",-0.07,0.02,-0.11,-0.02,"*"
