"","RegressionCoefficient","SE","CI_Lower","CI_Higher","Signifant"
"(Intercept)",1.53,0.2,1.19,1.91,"*"
"Congruentcongruent",-0.07,0.06,-0.18,0.07,"n.s."
"Congruentincongruent",-0.35,0.06,-0.45,-0.22,"*"
"Difference",0.58,0.04,0.5,0.67,"*"
"Congruentcongruent:Difference",-0.02,0.02,-0.07,0.03,"n.s."
"Congruentincongruent:Difference",-0.11,0.02,-0.15,-0.06,"*"
