subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 8 2.4 first first 16 1 74 -8 -8.879999 1.79999685287476 0.25 0 1
lala 4 1.2 first first 7 1 75 8 9.440001 1.95999670028687 -0.25 1 1
lala 5 0.6 first second 0 1 76 -8 -5.88 1.05999732017517 -0.25 0 -1
lala 4 1.2 second first 12 1 77 6.6 3.156 1.21999716758728 0 0 -1
lala 3 1.2 first first 20 1 78 6.6 6.756 3.21999549865723 0.25 0 1
lala 5 0.6 first first 21 1 79 6.6 6.978 0.679997682571411 0.25 1 1
lala 6 0.6 first first 21 1 80 6.6 6.378 0.579997777938843 0.25 1 1
lala 3 1.2 first first 13 1 81 6.6 8.778 0.719997644424438 0 1 1
lala 2 1.2 first first 22 1 82 8 4.08 0.639997720718384 0.25 0 1
lala 3 1.2 second second 14 1 83 8 5.280001 1.31999707221985 0 0 1
lala 4 1.2 first first 1 1 84 -8 -7.040001 2.65999603271484 -0.25 1 1
lala 4 1.2 first first 20 1 85 6.6 5.556 1.03999733924866 0.25 0 1
lala 7 0.6 second second 21 1 86 6.6 5.778 1.05999732017517 0.25 1 1
lala 6 0.6 second second 10 1 87 -6.6 -4.356 -2.40000009536743 0 0 1
lala 4 1.2 first first 13 1 88 6.6 7.578 1.25999712944031 0 1 1
lala 9 2.4 first first 16 1 89 -8 -6.479999 2.25999641418457 0.25 0 1
lala 7 0.3 first first 10 1 90 -6.6 -4.056 1.3999969959259 0 0 1
lala 6 1.2 first second 17 1 91 -8 -5.840001 1.01999735832214 0.25 1 -1
lala 1 1.2 second second 5 1 92 6.6 8.778 1.21999716758728 -0.25 1 1
lala 10 4.8 first second 16 1 93 -8 -1.679999 1.03999733924866 0.25 0 -1
lala 11 2.4 first first 16 1 94 -8 -4.079999 1.01999735832214 0.25 0 1
lala 4 1.2 first first 19 1 95 -6.6 -7.578 0.799997568130493 0.25 1 1
lala 4 1.2 first first 14 1 96 8 4.080001 1.67999696731567 0 0 1
lala 3 1.2 first first 8 1 97 -8 -5.280001 1.0999972820282 0 0 1
lala 7 2.4 first first 18 1 98 -6.6 -12.756 0.599997758865356 0.25 0 1
lala 8 2.4 first first 18 1 99 -6.6 -10.356 1.07999730110168 0.25 0 1
lala 12 1.2 first second 16 1 100 -8 -2.879999 1.35999703407288 0.25 0 -1
lala 8 0.3 first first 10 1 101 -6.6 -3.756 0.61999773979187 0 0 1
lala 9 0.3 second first 10 1 102 -6.6 -3.456 -2.40000009536743 0 0 -1
lala 2 1.2 first first 3 1 103 -6.6 -7.578 0.839997529983521 -0.25 1 1
lala 5 2.4 first second 7 1 104 8 7.04 2.05999660491943 -0.25 1 -1
lala 5 0.6 second second 19 1 105 -6.6 -6.978 1.01999735832214 0.25 1 1
lala 2 1.2 second second 11 1 106 -6.6 -9.978 4.61999416351318 0 1 1
lala 13 0.6 first second 16 1 107 -8 -3.479999 0.759997606277466 0.25 0 -1
lala 7 1.2 first first 17 1 108 -8 -7.040001 1.03999733924866 0.25 1 1
lala 4 1.2 first first 4 1 109 6.6 5.556 1.31999707221985 -0.25 0 1
lala 6 0.6 first second 19 1 110 -6.6 -6.378 1.23999714851379 0.25 1 -1
lala 5 1.2 second second 20 1 111 6.6 4.356 2.25999641418457 0.25 0 1
lala 5 2.4 first second 14 1 112 8 1.680001 1.29999709129334 0 0 -1
lala 1 1.2 first second 15 1 113 8 10.64 0.599997758865356 0 1 -1
lala 6 0.6 first first 9 1 114 -8 -8.840001 1.3999969959259 0 1 1
lala 5 0.6 first second 4 1 115 6.6 4.956 1.49999690055847 -0.25 0 -1
lala 6 1.2 second second 7 1 116 8 8.240001 1.3999969959259 -0.25 1 1
lala 14 0.6 first second 16 1 117 -8 -4.079999 1.07999730110168 0.25 0 -1
