subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Response_MotionEstimation
lala 5 1.2 second second 4 1 79 6.6 7.02 0.319998025894165 -0.25 1
lala 4 1.2 first first 23 1 80 8 6.8 2.83999586105347 0.25 1
lala 2 1.2 second second 9 1 81 -8 -9.2 0.379997968673706 0 1
lala 5 0.6 first second 3 1 82 -6.6 -6.78 1.15999722480774 -0.25 -1
lala 4 1.2 second second 0 1 83 -8 -6.8 0.39999794960022 -0.25 1
lala 2 1.2 second second 17 1 84 -8 -9.2 0.459997892379761 0.25 1
lala 5 0.6 second first 16 1 85 -8 -6.2 0.639997720718384 0.25 -1
lala 5 2.4 second first 15 1 86 8 4.4 1.17999720573425 0 -1
lala 3 1.2 second second 9 1 87 -8 -8 0.699997663497925 0 1
lala 3 1.2 first second 7 1 88 8 8 0.459997892379761 -0.25 -1
lala 4 1.2 first second 19 1 89 -6.6 -7.38 0.979997396469116 0.25 -1
lala 6 0.3 first first 2 1 90 -6.6 -6.119999 0.859997510910034 -0.25 1
lala 5 0.6 second second 19 1 91 -6.6 -7.98 0.39999794960022 0.25 1
lala 5 2.4 second first 23 1 92 8 4.4 0.879997491836548 0.25 -1
lala 3 1.2 first second 18 1 93 -6.6 -4.62 0.559997797012329 0.25 -1
lala 3 1.2 first first 11 1 94 -6.6 -6.18 0.959997415542603 0 1
lala 6 0.6 first first 1 1 95 -8 -8 0.39999794960022 -0.25 1
lala 7 0.3 second second 2 1 96 -6.6 -5.819999 0.459997892379761 -0.25 1
lala 3 1.2 second first 22 1 97 8 5.6 1.8599967956543 0.25 -1
lala 4 1.2 first second 18 1 98 -6.6 -5.82 1.55999684333801 0.25 -1
lala 5 1.2 first first 18 1 99 -6.6 -7.02 0.599997758865356 0.25 1
lala 6 1.2 second second 23 1 100 8 5.6 0.419997930526733 0.25 1
lala 4 1.2 first first 7 1 101 8 9.2 0.759997606277466 -0.25 1
lala 6 0.3 second second 16 1 102 -8 -6.5 0.699997663497925 0.25 1
lala 7 1.2 second second 8 1 103 -8 -6.799999 0.539997816085815 0 1
lala 4 1.2 second first 10 1 104 -6.6 -5.82 1.97999668121338 0 -1
lala 6 0.6 second first 4 1 105 6.6 6.42 2.17999649047852 -0.25 -1
lala 5 0.6 second second 12 1 106 6.6 5.22 2.65999603271484 0 1
lala 5 0.6 second second 13 1 107 6.6 5.58 0.919997453689575 0 1
lala 4 1.2 second second 9 1 108 -8 -6.8 0.839997529983521 0 1
lala 7 0.15 second first 16 1 109 -8 -6.35 0.759997606277466 0.25 -1
lala 3 1.2 first first 21 1 110 6.6 6.18 1.15999722480774 0.25 1
lala 5 2.4 first second 9 1 111 -8 -4.4 0.439997911453247 0 -1
lala 5 0.6 second second 10 1 112 -6.6 -6.42 0.759997606277466 0 1
lala 4 1.2 second second 6 1 113 8 6.8 1.97999668121338 -0.25 1
lala 6 1.2 second first 9 1 114 -8 -5.6 0.599997758865356 0 -1
lala 7 0.3 first second 4 1 115 6.6 6.72 0.659997701644897 -0.25 -1
lala 6 0.3 second second 3 1 116 -6.6 -7.08 1.61999702453613 -0.25 1
lala 8 0.075 second first 16 1 117 -8 -6.425 0.559997797012329 0.25 -1
lala 4 1.2 second second 22 1 118 8 6.8 0.539997816085815 0.25 1
lala 4 1.2 second first 20 1 119 6.6 5.82 1.03999733924866 0.25 -1
lala 3 1.2 first first 17 1 120 -8 -8 0.539997816085815 0.25 1
lala 7 0.15 first first 3 1 121 -6.6 -6.93 0.799997568130493 -0.25 1
lala 5 0.6 second second 22 1 122 8 6.2 0.339998006820679 0.25 1
lala 4 1.2 first second 11 1 123 -6.6 -4.98 1.0999972820282 0 -1
lala 5 1.2 second first 6 1 124 8 5.6 0.679997682571411 -0.25 -1
lala 4 1.2 second second 17 1 125 -8 -6.8 0.819997549057007 0.25 1
lala 4 1.2 second second 21 1 126 6.6 4.98 1.79999685287476 0.25 1
lala 6 0.6 second second 6 1 127 8 6.2 1.29999709129334 -0.25 1
lala 6 0.3 first second 10 1 128 -6.6 -6.119999 4.45999431610107 0 -1
lala 6 0.6 first second 14 1 129 8 5.6 1.93999671936035 0 -1
lala 6 0.6 first second 12 1 130 6.6 4.62 0.559997797012329 0 -1
lala 4 1.2 second first 5 1 131 6.6 4.98 0.419997930526733 -0.25 -1
lala 8 0.3 first first 2 1 132 -6.6 -5.519999 1.65999698638916 -0.25 1
lala 9 0.6 second second 2 1 133 -6.6 -4.919999 1.67999696731567 -0.25 1
lala 6 0.3 first first 19 1 134 -6.6 -7.68 0.759997606277466 0.25 1
